id,rank,fighter,dojo,district,birth_date,height,weight,Lat,Lng
4095,Y2eHD,Wakanohana,Futagoyama,Aomori,4/3/53,186,133,43.0431112,141.3160186
4122,M14e,Kurosegawa,Isegahama,Tokyo,5/13/51,184,130,32.413809,131.6495062
4103,M14w,Banryuyama,Mihogaseki,Hyogo,5/4/51,177.5,135,35.4958382,136.9181807
4050,M8e,Takamiyama,Takasago,U.S.A.,6/16/44,192,205,34.7661005,134.7906014
4077,M10w,Fujizakura,Takasago,Yamanashi,2/9/48,180,139,34.7661005,134.7906014
4133,M12e,Saisu,Isegahama,Fukushima,8/16/56,188,129,32.413809,131.6495062
4078,M12w,Oshio,Tokitsukaze,Fukuoka,1/4/48,187,144,35.6937382,139.7945024
4128,M14e,Kotochitose,Sadogatake,Hokkaido,4/22/57,181.5,123,35.7772605,139.9616965
4118,M10e,Amanoyama,Tokitsukaze,Saga,12/28/53,191,171,35.6937382,139.7945024
4091,M11w,Washuyama,Dewanoumi,Okayama,4/2/49,175,110,35.6923601,139.7926487
4134,M13w,Oyutaka,Tokitsukaze,Niigata,3/29/55,187,165,35.6937382,139.7945024
4132,M9w,Wakanofuji,Kokonoe,Tokyo,3/29/56,189.5,150,33.2285239,131.1888843
1385,M12e,Tochiakagi,Kasugano,Gunma,10/31/54,182,126,37.1520331,138.2314092
4080,Y1w,Kitanoumi,Mihogaseki,Hokkaido,5/16/53,179,170,35.4958382,136.9181807
4130,M11w,Hachiya,Kasugano,Gifu,11/16/50,180,108,37.1520331,138.2314092
4100,M13w,Tochihikari,Kasugano,Miyazaki,2/27/53,185,139,37.1520331,138.2314092
1375,M14e,Masudayama,Kasugano,Ishikawa,4/10/51,187,152,37.1520331,138.2314092
4112,M10e,Kotokaze,Sadogatake,Mie,4/26/57,183.5,173,35.7772605,139.9616965
4104,Y1w,Takanosato,Futagoyama,Aomori,9/29/52,181.5,158.5,43.0431112,141.3160186
4102,M12e,Aobajo,Oshiogawa,Miyagi,11/14/48,181,152,36.3260317,136.5289653
4138,M11e,Tochimatoi,Kasugano,Kanagawa,1/30/59,179,179,37.1520331,138.2314092
4124,M13e,Shishiho,Taiho,Nagasaki,8/14/55,190,121,40.3226572,-74.6452328
1380,M14e,Hidanohana,Futagoyama,Gifu,12/13/53,182,135,43.0431112,141.3160186
4117,M12w,Misugiiso,Hanaregoma,Aomori,5/11/56,187,121,43.0431112,141.3160186
4137,M11w,Fujinokawa,Isenoumi,Aichi,8/20/60,193,150,35.7256939,139.7456538
4107,M12w,Kaiki,Tomozuna,Aomori,6/12/52,182,148,33.5948329,130.3595555
4140,M14e,Chikubayama,Miyagino,Fukuoka,8/21/57,176,121,38.2789376,140.9508565
4139,M11w,Koryu,Miyagino,Tokushima,9/12/61,174,120,38.2789376,140.9508565
4131,M13w,Tochitsurugi,Kasugano,Aichi,4/26/55,170.5,116,37.1520331,138.2314092
4127,O2wHD,Wakashimazu,Futagoyama,Kagoshima,1/12/57,188,125,43.0431112,141.3160186
4094,M11e,Onishiki,Dewanoumi,Niigata,9/11/53,182.5,142.5,35.6923601,139.7926487
4136,Y2eHD,Futahaguro,Tatsunami,Mie,8/12/63,199,151,35.6923601,139.7926487
4116,M7w,Dewanohana,Dewanoumi,Aomori,5/13/51,185.5,125,35.6923601,139.7926487
