id,rank,rikishi,heya,shusshin,birth_date,height,weight
4095,Y2eHD,Wakanohana,Futagoyama,Aomori,1953-04-03,186.0,133.0
4122,M14e,Kurosegawa,Isegahama,Tokyo,1951-05-13,184.0,130.0
4103,M14w,Banryuyama,Mihogaseki,Hyogo,1951-05-04,177.5,135.0
4050,M8e,Takamiyama,Takasago,U.S.A.,1944-06-16,192.0,205.0
4077,M10w,Fujizakura,Takasago,Yamanashi,1948-02-09,180.0,139.0
4133,M12e,Saisu,Isegahama,Fukushima,1956-08-16,188.0,129.0
4078,M12w,Oshio,Tokitsukaze,Fukuoka,1948-01-04,187.0,144.0
4128,M14e,Kotochitose,Sadogatake,Hokkaido,1957-04-22,181.5,123.0
4118,M10e,Amanoyama,Tokitsukaze,Saga,1953-12-28,191.0,171.0
4091,M11w,Washuyama,Dewanoumi,Okayama,1949-04-02,175.0,110.0
4134,M13w,Oyutaka,Tokitsukaze,Niigata,1955-03-29,187.0,165.0
4132,M9w,Wakanofuji,Kokonoe,Tokyo,1956-03-29,189.5,150.0
1385,M12e,Tochiakagi,Kasugano,Gunma,1954-10-31,182.0,126.0
4080,Y1w,Kitanoumi,Mihogaseki,Hokkaido,1953-05-16,179.0,170.0
4130,M11w,Hachiya,Kasugano,Gifu,1950-11-16,180.0,108.0
4100,M13w,Tochihikari,Kasugano,Miyazaki,1953-02-27,185.0,139.0
1375,M14e,Masudayama,Kasugano,Ishikawa,1951-04-10,187.0,152.0
4112,M10e,Kotokaze,Sadogatake,Mie,1957-04-26,183.5,173.0
4104,Y1w,Takanosato,Futagoyama,Aomori,1952-09-29,181.5,158.5
4102,M12e,Aobajo,Oshiogawa,Miyagi,1948-11-14,181.0,152.0
4138,M11e,Tochimatoi,Kasugano,Kanagawa,1959-01-30,179.0,179.0
4124,M13e,Shishiho,Taiho,Nagasaki,1955-08-14,190.0,121.0
1380,M14e,Hidanohana,Futagoyama,Gifu,1953-12-13,182.0,135.0
4117,M12w,Misugiiso,Hanaregoma,Aomori,1956-05-11,187.0,121.0
4137,M11w,Fujinokawa,Isenoumi,Aichi,1960-08-20,193.0,150.0
4107,M12w,Kaiki,Tomozuna,Aomori,1952-06-12,182.0,148.0
4140,M14e,Chikubayama,Miyagino,Fukuoka,1957-08-21,176.0,121.0
4139,M11w,Koryu,Miyagino,Tokushima,1961-09-12,174.0,120.0
4131,M13w,Tochitsurugi,Kasugano,Aichi,1955-04-26,170.5,116.0
4127,O2wHD,Wakashimazu,Futagoyama,Kagoshima,1957-01-12,188.0,125.0
4094,M11e,Onishiki,Dewanoumi,Niigata,1953-09-11,182.5,142.5
4136,Y2eHD,Futahaguro,Tatsunami,Mie,1963-08-12,199.0,151.0
4116,M7w,Dewanohana,Dewanoumi,Aomori,1951-05-13,185.5,125.0
4126,M10w,Sadanoumi,Dewanoumi,Osaka,1956-07-19,182.0,132.0
1362,M13w,Onohana,Taiho,Yamanashi,1958-06-23,188.4,131.0
1372,M12e,Maenoshin,Takadagawa,Fukuoka,1961-04-17,184.0,141.0
1374,M13e,Kurama,Tokitsukaze,Shiga,1952-12-16,188.0,140.5
1369,M13e,Toryu,Mihogaseki,Hyogo,1958-12-19,180.0,147.0
4099,M13e,Kirinji,Nishonoseki,Chiba,1953-03-09,183.0,144.0
4141,M9e,Nankairyu,Takasago,Western Samoa,1965-02-22,188.0,153.0
1361,M11w,Daitetsu,Nishonoseki,Fukui,1956-10-29,193.0,130.0
1331,M14e,Saganobori,Oshiogawa,Saga,1961-11-27,190.0,117.0
1378,M9e,Hoo,Nishonoseki,Aichi,1956-12-07,180.0,140.0
1379,O2eHD,Asashio,Takasago,Kochi,1955-12-09,183.0,169.0
